ID;Batch;Distance (µm);Sr:Ca_Avg
SH_33;Spring-spawning;69.15;1.79348130162676
UP_11_4;Autumn-spawning;69.15;1.09149659755962
UP_11_9;Autumn-spawning;69.15;1.43712390500944
UP_11_5;Autumn-spawning;69.15;1.58394464301078
UP_11_6;Autumn-spawning;69.15;1.41045516196956
UP_11_18;Autumn-spawning;69.15;1.50380652206161
UP_11_7;Autumn-spawning;69.15;1.50738770591856
UP_11_8;Autumn-spawning;69.15;1.25608169233102
UP_11_14;Autumn-spawning;69.15;1.57220630929635
SH_29;Spring-spawning;76.44;2.37683565687733
SH_27;Spring-spawning;76.44;1.69333435480121
SH_26;Spring-spawning;76.44;1.83277688004479
SH_25;Spring-spawning;76.44;2.38873676335823
SH_23;Spring-spawning;76.44;2.04473811313127
SH_22;Spring-spawning;76.44;2.02383644943098
SL57;Slåttersill;76.44;2.35628314205134
SL_63;Slåttersill;76.44;2.29997619765526
SL_58;Slåttersill;76.44;1.90953765912146
SL_66;Slåttersill;76.44;2.55889571592639
SL_65;Slåttersill;76.44;2.17772527368601
SL_62;Slåttersill;76.44;2.23961236851325
SH_21;Spring-spawning;76.44;2.0314718287819
SL-51;Slåttersill;78.1298329796292;2.09168613407048
SL_53;Slåttersill;78.1298329796292;2.4170430938403
SL_45;Slåttersill;78.1298329796292;2.18332808928824
SL_54;Slåttersill;78.1298329796292;2.01110702915239
SH31;Spring-spawning;80.675;2.11451054632565
SH32;Spring-spawning;80.675;1.96288330125495
SH_33;Spring-spawning;80.675;1.92585650442075
UP_11_4;Autumn-spawning;80.675;1.11996842683392
UP_11_9;Autumn-spawning;80.675;1.50546379290724
UP_11_5;Autumn-spawning;80.675;1.54061790744919
UP_11_6;Autumn-spawning;80.675;1.41577836843324
UP_11_18;Autumn-spawning;80.675;1.58518828188371
UP_11_7;Autumn-spawning;80.675;1.48188796365564
UP_11_8;Autumn-spawning;80.675;1.20947560412945
UP_11_14;Autumn-spawning;80.675;1.55369093215309
SH_29;Spring-spawning;87.36;2.43176537570661
SH_27;Spring-spawning;87.36;1.70594684876678
SH_26;Spring-spawning;87.36;1.85512576540482
SH_25;Spring-spawning;87.36;2.38916254990428
SH_23;Spring-spawning;87.36;2.0660338513669
SH_22;Spring-spawning;87.36;2.0757560379901
SL57;Slåttersill;87.36;2.34269504761826
SL_63;Slåttersill;87.36;2.33917666988656
SL_58;Slåttersill;87.36;1.97360778346757
SL_66;Slåttersill;87.36;2.59519217321499
SL_65;Slåttersill;87.36;2.22804269620862
SL_62;Slåttersill;87.36;2.25792376084572
SH_21;Spring-spawning;87.36;2.03872137215831
SH31;Spring-spawning;92.2;2.09265973429369
SH32;Spring-spawning;92.2;1.96004014168224
SH_33;Spring-spawning;92.2;1.90055528708048
UP_11_4;Autumn-spawning;92.2;1.11666850079667
UP_11_9;Autumn-spawning;92.2;1.5494341117
UP_11_5;Autumn-spawning;92.2;1.5210783043972
UP_11_6;Autumn-spawning;92.2;1.42704993439976
UP_11_18;Autumn-spawning;92.2;1.61093820646066
UP_11_7;Autumn-spawning;92.2;1.52141352985664
UP_11_8;Autumn-spawning;92.2;1.21228926746686
UP_11_14;Autumn-spawning;92.2;1.52793994051375
SH_29;Spring-spawning;98.28;2.41748619585161
SH_27;Spring-spawning;98.28;1.73145243891273
SH_26;Spring-spawning;98.28;1.90377315081924
SH_25;Spring-spawning;98.28;2.39635015535438
SH_23;Spring-spawning;98.28;2.07787375585441
SH_22;Spring-spawning;98.28;2.14966628188977
SL57;Slåttersill;98.28;2.28205503350193
SL_63;Slåttersill;98.28;2.3374986538574
SL_58;Slåttersill;98.28;2.06251453866567
SL_66;Slåttersill;98.28;2.61839944088315
SL_65;Slåttersill;98.28;2.26251738603574
SL_62;Slåttersill;98.28;2.21877292160176
SH_21;Spring-spawning;98.28;2.05480957851632
SH31;Spring-spawning;103.725;2.04554485992853
SH32;Spring-spawning;103.725;2.08954881452171
SH_33;Spring-spawning;103.725;2.03092288918074
UP_11_4;Autumn-spawning;103.725;1.11965133162882
UP_11_9;Autumn-spawning;103.725;1.55760686953647
UP_11_5;Autumn-spawning;103.725;1.54140437946703
UP_11_6;Autumn-spawning;103.725;1.39809097111412
UP_11_18;Autumn-spawning;103.725;1.594463299957
UP_11_7;Autumn-spawning;103.725;1.54261300359595
UP_11_8;Autumn-spawning;103.725;1.23322760605598
UP_11_14;Autumn-spawning;103.725;1.55281057570421
SL-51;Slåttersill;104.173110639506;2.04805610899019
SL_53;Slåttersill;104.173110639506;2.51568821762433
SL_45;Slåttersill;104.173110639506;2.15925309412777
SL_54;Slåttersill;104.173110639506;2.3972360038111
SH_29;Spring-spawning;109.2;2.42538983714922
SH_27;Spring-spawning;109.2;1.77810366775698
SH_26;Spring-spawning;109.2;1.96591374125551
SH_25;Spring-spawning;109.2;2.46080276910843
SH_23;Spring-spawning;109.2;2.09026079431313
SH_22;Spring-spawning;109.2;2.18070146126781
SL57;Slåttersill;109.2;2.28670024758358
SL_63;Slåttersill;109.2;2.37971573798113
SL_58;Slåttersill;109.2;2.0762222630739
SL_66;Slåttersill;109.2;2.59000457968802
SL_65;Slåttersill;109.2;2.23884600139844
SL_62;Slåttersill;109.2;2.21307975039794
SH_21;Spring-spawning;109.2;2.04897340692318
SH31;Spring-spawning;115.25;2.02363505397475
SH32;Spring-spawning;115.25;2.07800590107156
SH_33;Spring-spawning;115.25;2.10735776146583
UP_11_4;Autumn-spawning;115.25;1.08877050182697
UP_11_9;Autumn-spawning;115.25;1.65103257663756
UP_11_5;Autumn-spawning;115.25;1.56855924151088
UP_11_6;Autumn-spawning;115.25;1.41167809742328
UP_11_18;Autumn-spawning;115.25;1.5453470575164
UP_11_7;Autumn-spawning;115.25;1.50838784884212
UP_11_8;Autumn-spawning;115.25;1.21371105104011
UP_11_14;Autumn-spawning;115.25;1.62554489420217
SH_29;Spring-spawning;120.12;2.4168828304298
SH_27;Spring-spawning;120.12;1.80696809754768
SH_26;Spring-spawning;120.12;1.98813408435048
SH_25;Spring-spawning;120.12;2.5584190666206
SH_23;Spring-spawning;120.12;2.10351711133928
SH_22;Spring-spawning;120.12;2.22490503263272
SL57;Slåttersill;120.12;2.27969063213639
SL_63;Slåttersill;120.12;2.42500518590422
SL_58;Slåttersill;120.12;2.07127496356746
SL_66;Slåttersill;120.12;2.60363455909924
SL_65;Slåttersill;120.12;2.21403782108129
SL_62;Slåttersill;120.12;2.17135043663829
SH_21;Spring-spawning;120.12;2.09631157388703
SH31;Spring-spawning;126.775;2.03043668650892
SH32;Spring-spawning;126.775;2.0478331189546
SH_33;Spring-spawning;126.775;2.18583423427806
UP_11_4;Autumn-spawning;126.775;1.020675314689
UP_11_9;Autumn-spawning;126.775;1.69223743032894
UP_11_5;Autumn-spawning;126.775;1.64027788584819
UP_11_6;Autumn-spawning;126.775;1.42467987744307
UP_11_18;Autumn-spawning;126.775;1.56820518471258
UP_11_7;Autumn-spawning;126.775;1.55939138213093
UP_11_8;Autumn-spawning;126.775;1.2333393839448
UP_11_14;Autumn-spawning;126.775;1.63141235356668
SL-51;Slåttersill;130.216388299382;2.25586671660039
SL_53;Slåttersill;130.216388299382;2.28323288413233
SL_45;Slåttersill;130.216388299382;2.0879148233368
SL_54;Slåttersill;130.216388299382;2.35787287345293
SH_29;Spring-spawning;131.04;2.4358742229068
SH_27;Spring-spawning;131.04;1.85021068279554
SH_26;Spring-spawning;131.04;2.00479345303661
SH_25;Spring-spawning;131.04;2.5982006245883
SH_23;Spring-spawning;131.04;2.07666790954235
SH_22;Spring-spawning;131.04;2.25471564469634
SL57;Slåttersill;131.04;2.27915299994778
SL_63;Slåttersill;131.04;2.47616142815564
SL_58;Slåttersill;131.04;2.10240826518446
SL_66;Slåttersill;131.04;2.59938660409384
SL_65;Slåttersill;131.04;2.26927370658136
SL_62;Slåttersill;131.04;2.19475608596593
SH_21;Spring-spawning;131.04;2.13421317983248
SH31;Spring-spawning;138.3;2.08973290349182
SH32;Spring-spawning;138.3;2.08629566805727
SH_33;Spring-spawning;138.3;2.14270945103804
UP_11_4;Autumn-spawning;138.3;0.977636391894231
UP_11_9;Autumn-spawning;138.3;1.77058055463861
UP_11_5;Autumn-spawning;138.3;1.7567306782223
UP_11_6;Autumn-spawning;138.3;1.39674706830547
UP_11_18;Autumn-spawning;138.3;1.5937943490777
UP_11_7;Autumn-spawning;138.3;1.51699587629652
UP_11_8;Autumn-spawning;138.3;1.22626569201259
UP_11_14;Autumn-spawning;138.3;1.69694432561906
SH_29;Spring-spawning;141.96;2.43646604991369
SH_27;Spring-spawning;141.96;1.8947373272872
SH_26;Spring-spawning;141.96;2.03041675916658
SH_25;Spring-spawning;141.96;2.62115426017127
SH_23;Spring-spawning;141.96;2.04561626853483
SH_22;Spring-spawning;141.96;2.31008203302733
SL57;Slåttersill;141.96;2.27054076158146
SL_63;Slåttersill;141.96;2.55124524474178
SL_58;Slåttersill;141.96;2.16179953157512
SL_66;Slåttersill;141.96;2.64330612121679
SL_65;Slåttersill;141.96;2.31272786553686
SL_62;Slåttersill;141.96;2.20464225062971
SH_21;Spring-spawning;141.96;2.19091351468838
SH31;Spring-spawning;149.825;2.11053746435911
SH32;Spring-spawning;149.825;2.06231789673795
SH_33;Spring-spawning;149.825;2.08835110281377
UP_11_4;Autumn-spawning;149.825;0.918128096997157
UP_11_9;Autumn-spawning;149.825;1.78603325340141
UP_11_5;Autumn-spawning;149.825;1.83128048608529
UP_11_6;Autumn-spawning;149.825;1.37449978248734
UP_11_18;Autumn-spawning;149.825;1.51618125548133
UP_11_7;Autumn-spawning;149.825;1.47503570094861
UP_11_8;Autumn-spawning;149.825;1.30655052578669
UP_11_14;Autumn-spawning;149.825;1.67200671637802
SH_29;Spring-spawning;152.88;2.40287308756709
SH_27;Spring-spawning;152.88;1.95434823573002
SH_26;Spring-spawning;152.88;2.0973228870743
SH_25;Spring-spawning;152.88;2.65317551475742
SH_23;Spring-spawning;152.88;2.05732297683031
SH_22;Spring-spawning;152.88;2.33383380573096
